WKT,longitude,latitude,AVS,Unique_ID,nam,laa,adm_code,Loc ID,DEM
"POLYGON ((139.841666666656 35.9999999999996,139.849999999989 35.9999999999996,139.849999999989 36.0083333333329,139.841666666656 36.0083333333329,139.841666666656 35.9999999999996))",139.845833333323,36.0041666666663,149,99617,Chiba Ken,Noda Shi,12208,1398458360042,30
"POLYGON ((139.833333333323 35.9999999999996,139.841666666656 35.9999999999996,139.841666666656 36.0083333333329,139.833333333323 36.0083333333329,139.833333333323 35.9999999999996))",139.83749999999,36.0041666666663,214,99618,Chiba Ken,Noda Shi,12208,1398375360042,21
"POLYGON ((139.824999999989 35.9999999999996,139.833333333323 35.9999999999996,139.833333333323 36.0083333333329,139.824999999989 36.0083333333329,139.824999999989 35.9999999999996))",139.829166666656,36.0041666666663,217,99619,Chiba Ken,Noda Shi,12208,1398292360042,23
"POLYGON ((139.816666666656 35.9999999999996,139.824999999989 35.9999999999996,139.824999999989 36.0083333333329,139.816666666656 36.0083333333329,139.816666666656 35.9999999999996))",139.820833333322,36.0041666666663,217,99620,Chiba Ken,Noda Shi,12208,1398208360042,10
"POLYGON ((139.874999999989 35.9999999999996,139.883333333323 35.9999999999996,139.883333333323 36.0083333333329,139.874999999989 36.0083333333329,139.874999999989 35.9999999999996))",139.879166666656,36.0041666666663,234,99621,Chiba Ken,Noda Shi,12208,1398792360042,6
"POLYGON ((139.866666666656 35.9999999999996,139.874999999989 35.9999999999996,139.874999999989 36.0083333333329,139.866666666656 36.0083333333329,139.866666666656 35.9999999999996))",139.870833333322,36.0041666666663,267,99622,Chiba Ken,Noda Shi,12208,1398708360042,9
"POLYGON ((139.858333333323 35.9999999999996,139.866666666656 35.9999999999996,139.866666666656 36.0083333333329,139.858333333323 36.0083333333329,139.858333333323 35.9999999999996))",139.862499999989,36.0041666666663,202,99623,Chiba Ken,Noda Shi,12208,1398625360042,10
"POLYGON ((139.849999999989 35.9999999999996,139.858333333323 35.9999999999996,139.858333333323 36.0083333333329,139.849999999989 36.0083333333329,139.849999999989 35.9999999999996))",139.854166666656,36.0041666666663,149,99624,Chiba Ken,Noda Shi,12208,1398542360042,12
"POLYGON ((139.816666666656 36.0083333333329,139.824999999989 36.0083333333329,139.824999999989 36.0166666666663,139.816666666656 36.0166666666663,139.816666666656 36.0083333333329))",139.820833333322,36.0124999999996,213,100142,Chiba Ken,Noda Shi,12208,1398208360125,15
"POLYGON ((139.849999999989 36.0083333333329,139.858333333323 36.0083333333329,139.858333333323 36.0166666666663,139.849999999989 36.0166666666663,139.849999999989 36.0083333333329))",139.854166666656,36.0124999999996,201,100146,Chiba Ken,Noda Shi,12208,1398542360125,8
"POLYGON ((139.841666666656 36.0083333333329,139.849999999989 36.0083333333329,139.849999999989 36.0166666666663,139.841666666656 36.0166666666663,139.841666666656 36.0083333333329))",139.845833333323,36.0124999999996,201,100147,Chiba Ken,Noda Shi,12208,1398458360125,15
"POLYGON ((139.833333333323 36.0083333333329,139.841666666656 36.0083333333329,139.841666666656 36.0166666666663,139.833333333323 36.0166666666663,139.833333333323 36.0083333333329))",139.83749999999,36.0124999999996,216,100148,Chiba Ken,Noda Shi,12208,1398375360125,11
"POLYGON ((139.824999999989 36.0083333333329,139.833333333323 36.0083333333329,139.833333333323 36.0166666666663,139.824999999989 36.0166666666663,139.824999999989 36.0083333333329))",139.829166666656,36.0124999999996,213,100149,Chiba Ken,Noda Shi,12208,1398292360125,14
"POLYGON ((139.866666666656 36.0083333333329,139.874999999989 36.0083333333329,139.874999999989 36.0166666666663,139.866666666656 36.0166666666663,139.866666666656 36.0083333333329))",139.870833333322,36.0124999999996,215,100152,Chiba Ken,Noda Shi,12208,1398708360125,11
"POLYGON ((139.858333333323 36.0083333333329,139.866666666656 36.0083333333329,139.866666666656 36.0166666666663,139.858333333323 36.0166666666663,139.858333333323 36.0083333333329))",139.862499999989,36.0124999999996,263,100153,Chiba Ken,Noda Shi,12208,1398625360125,9
"POLYGON ((139.841666666656 36.0166666666663,139.849999999989 36.0166666666663,139.849999999989 36.0249999999996,139.841666666656 36.0249999999996,139.841666666656 36.0166666666663))",139.845833333323,36.0208333333329,201,100676,Chiba Ken,Noda Shi,12208,1398458360208,17
"POLYGON ((139.833333333323 36.0166666666663,139.841666666656 36.0166666666663,139.841666666656 36.0249999999996,139.833333333323 36.0249999999996,139.833333333323 36.0166666666663))",139.83749999999,36.0208333333329,216,100677,Chiba Ken,Noda Shi,12208,1398375360208,15
"POLYGON ((139.824999999989 36.0166666666663,139.833333333323 36.0166666666663,139.833333333323 36.0249999999996,139.824999999989 36.0249999999996,139.824999999989 36.0166666666663))",139.829166666656,36.0208333333329,212,100678,Chiba Ken,Noda Shi,12208,1398292360208,12
"POLYGON ((139.816666666656 36.0166666666663,139.824999999989 36.0166666666663,139.824999999989 36.0249999999996,139.816666666656 36.0249999999996,139.816666666656 36.0166666666663))",139.820833333322,36.0208333333329,212,100679,Chiba Ken,Noda Shi,12208,1398208360208,13
"POLYGON ((139.858333333323 36.0166666666663,139.866666666656 36.0166666666663,139.866666666656 36.0249999999996,139.858333333323 36.0249999999996,139.858333333323 36.0166666666663))",139.862499999989,36.0208333333329,150,100682,Chiba Ken,Noda Shi,12208,1398625360208,11
"POLYGON ((139.849999999989 36.0166666666663,139.858333333323 36.0166666666663,139.858333333323 36.0249999999996,139.849999999989 36.0249999999996,139.849999999989 36.0166666666663))",139.854166666656,36.0208333333329,195,100683,Chiba Ken,Noda Shi,12208,1398542360208,7
"POLYGON ((139.824999999989 36.0249999999996,139.833333333323 36.0249999999996,139.833333333323 36.0333333333329,139.824999999989 36.0333333333329,139.824999999989 36.0249999999996))",139.829166666656,36.0291666666662,221,101218,Chiba Ken,Noda Shi,12208,1398292360292,13
"POLYGON ((139.816666666656 36.0249999999996,139.824999999989 36.0249999999996,139.824999999989 36.0333333333329,139.816666666656 36.0333333333329,139.816666666656 36.0249999999996))",139.820833333322,36.0291666666662,221,101219,Chiba Ken,Noda Shi,12208,1398208360292,12
"POLYGON ((139.849999999989 36.0249999999996,139.858333333323 36.0249999999996,139.858333333323 36.0333333333329,139.849999999989 36.0333333333329,139.849999999989 36.0249999999996))",139.854166666656,36.0291666666662,150,101223,Chiba Ken,Noda Shi,12208,1398542360292,13
"POLYGON ((139.841666666656 36.0249999999996,139.849999999989 36.0249999999996,139.849999999989 36.0333333333329,139.841666666656 36.0333333333329,139.841666666656 36.0249999999996))",139.845833333323,36.0291666666662,150,101224,Chiba Ken,Noda Shi,12208,1398458360292,10
"POLYGON ((139.833333333323 36.0249999999996,139.841666666656 36.0249999999996,139.841666666656 36.0333333333329,139.833333333323 36.0333333333329,139.833333333323 36.0249999999996))",139.83749999999,36.0291666666662,260,101225,Chiba Ken,Noda Shi,12208,1398375360292,14
"POLYGON ((139.849999999989 35.9583333333329,139.858333333323 35.9583333333329,139.858333333323 35.9666666666663,139.849999999989 35.9666666666663,139.849999999989 35.9583333333329))",139.854166666656,35.9624999999996,229,101835,Chiba Ken,Noda Shi,12208,1398542359625,13
"POLYGON ((139.841666666656 35.9583333333329,139.849999999989 35.9583333333329,139.849999999989 35.9666666666663,139.841666666656 35.9666666666663,139.841666666656 35.9583333333329))",139.845833333323,35.9624999999996,188,101836,Chiba Ken,Noda Shi,12208,1398458359625,14
"POLYGON ((139.833333333323 35.9583333333329,139.841666666656 35.9583333333329,139.841666666656 35.9666666666663,139.833333333323 35.9666666666663,139.833333333323 35.9583333333329))",139.83749999999,35.9624999999996,234,101837,Chiba Ken,Noda Shi,12208,1398375359625,13
"POLYGON ((139.883333333323 35.9583333333329,139.891666666656 35.9583333333329,139.891666666656 35.9666666666663,139.883333333323 35.9666666666663,139.883333333323 35.9583333333329))",139.88749999999,35.9624999999996,147,101839,Chiba Ken,Noda Shi,12208,1398875359625,17
"POLYGON ((139.874999999989 35.9583333333329,139.883333333323 35.9583333333329,139.883333333323 35.9666666666663,139.874999999989 35.9666666666663,139.874999999989 35.9583333333329))",139.879166666656,35.9624999999996,150,101840,Chiba Ken,Noda Shi,12208,1398792359625,19
