z_id,coupling_type,times,lats,lons,winds
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-11T12:00:00Z,21.7,134.9,0.0
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-11T18:00:00Z,22.0,135.4,0.0
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-12T00:00:00Z,22.4,135.8,0.0
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-12T06:00:00Z,22.7,136.1,0.0
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-12T12:00:00Z,23.1,136.6,18.00554
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-12T18:00:00Z,23.6,137.1,18.00554
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-13T00:00:00Z,24.2,137.9,20.57776
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-13T06:00:00Z,24.7,138.7,23.14998
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-13T12:00:00Z,25.3,139.0,28.29442
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-13T18:00:00Z,25.5,139.4,30.86664
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-14T00:00:00Z,26.1,140.3,30.86664
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-14T06:00:00Z,26.8,140.9,30.86664
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-14T12:00:00Z,27.5,141.3,30.86664
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-14T18:00:00Z,28.5,141.3,30.86664
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T00:00:00Z,29.5,141.2,33.43886
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T06:00:00Z,30.6,141.1,36.01108
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T09:00:00Z,31.1,141.0,41.15552
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T12:00:00Z,31.6,140.8,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T15:00:00Z,32.0,140.8,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T18:00:00Z,32.6,140.8,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-15T21:00:00Z,33.2,140.9,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-16T00:00:00Z,33.5,140.7,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-16T03:00:00Z,33.8,140.8,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-16T06:00:00Z,34.1,141.1,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-16T09:00:00Z,34.5,141.7,43.72774
EQ-202408091957003541139161353__TC-TY2407,EQ-TY,2024-08-16T12:00:00Z,35.0,142.0,43.72774
