z_id,coupling_type,eq_time,eq_lat,eq_lon,Mw,depth_km,tc_time,tc_lat,tc_lon,wind_kt,wind_ms,dt_hours,distance_km,R30_km,R30_long_km,R30_short_km
EQ-20030920125500352181403007058__TC-TY0315,Simultaneous,2003-09-20 12:55:00,35.21800,140.30000,5.80,70.0,2003-09-21 18:00:00,33.20000,140.70000,70.0,36.01,29.08,227.39,241.50,270.00,150.00
EQ-20040910132200423561431015151__TC-TY0418,Simultaneous,2004-09-10 13:22:00,42.35600,143.10100,5.10,51.0,2004-09-07 21:00:00,42.80000,139.80000,55.0,28.29,64.37,274.74,313.38,325.00,220.00
EQ-20041006234000359881400896657__TC-TY0422,Simultaneous,2004-10-06 23:40:00,35.98800,140.08900,5.70,66.0,2004-10-09 07:00:00,34.80000,138.80000,80.0,41.16,55.33,176.35,230.00,220.00,180.00
EQ-20050723163500355821401387360__TC-TY0507,Simultaneous,2005-07-23 16:35:00,35.58200,140.13800,6.00,73.0,2005-07-26 06:00:00,33.40000,138.90000,45.0,23.15,61.42,267.84,273.12,325.00,150.00
EQ-200908091956003312713840333368__TC-TY0909,Simultaneous,2009-08-09 19:56:00,33.12700,138.40300,6.80,333.0,2009-08-10 21:00:00,32.90000,137.90000,40.0,20.58,25.07,53.26,109.25,120.00,70.00
EQ-20091010174300417201422259251__TC-TY0918,Simultaneous,2009-10-10 17:43:00,41.72000,142.22500,5.10,92.0,2009-10-08 09:00:00,39.00000,142.30000,55.0,28.29,56.72,302.52,373.75,350.00,300.00
EQ-20100810145000393481434933063__TC-TY1004,Simultaneous,2010-08-10 14:50:00,39.34800,143.49300,6.30,30.0,2010-08-12 12:00:00,39.60000,142.70000,35.0,18.01,45.17,73.61,166.75,200.00,90.00
EQ-20110918160400399281432231958__TC-TY1115,Simultaneous,2011-09-18 16:04:00,39.92800,143.22300,5.80,19.0,2011-09-21 15:00:00,38.70000,142.40000,65.0,33.44,70.93,153.81,373.75,350.00,300.00
EQ-20120618053200388731420904762__TC-TY1204,Simultaneous,2012-06-18 05:32:00,38.87300,142.09000,6.20,47.0,2012-06-19 18:00:00,37.30000,140.70000,50.0,25.72,36.47,213.05,276.00,300.00,180.00
EQ-20121002072200398321435202263__TC-TY1217,Simultaneous,2012-10-02 07:22:00,39.83200,143.52000,6.30,22.0,2012-10-01 00:00:00,41.90000,144.40000,50.0,25.72,31.37,241.56,307.62,325.00,210.00
EQ-20140712042200370501423203370__TC-TY1408,Simultaneous,2014-07-12 04:22:00,37.05000,142.32000,7.00,33.0,2014-07-10 21:00:00,35.30000,140.40000,45.0,23.15,31.37,259.92,290.38,325.00,180.00
EQ-20141003095700401651426272857__TC-TY1418,Simultaneous,2014-10-03 09:57:00,40.16500,142.62700,5.70,28.0,2014-10-06 06:00:00,37.70000,143.50000,60.0,30.87,68.05,284.30,345.00,300.00,300.00
EQ-20141011113600409521432433661__TC-TY1419,Simultaneous,2014-10-11 11:36:00,40.95200,143.24300,6.10,36.0,2014-10-13 21:00:00,38.00000,141.50000,55.0,28.29,57.40,360.71,431.25,400.00,350.00
EQ-20150713025200329921318555857__TC-TY1511,Simultaneous,2015-07-13 02:52:00,32.99200,131.85500,5.70,58.0,2015-07-16 00:00:00,31.00000,134.70000,75.0,38.58,69.13,347.88,370.87,375.00,270.00
EQ-20150826075100321071318633452__TC-TY1515,Simultaneous,2015-08-26 07:51:00,32.10700,131.86300,5.20,34.0,2015-08-25 00:00:00,33.80000,130.40000,70.0,36.01,31.85,232.53,287.50,250.00,250.00
EQ-20160815160400373781417484756__TC-TY1607,Simultaneous,2016-08-15 16:04:00,37.37800,141.74800,5.60,47.0,2016-08-16 18:00:00,35.80000,141.20000,50.0,25.72,25.93,182.16,189.75,210.00,120.00
EQ-20160819210700365601411324854__TC-TY1609,Simultaneous,2016-08-19 21:07:00,36.56000,141.13200,5.40,48.0,2016-08-22 06:00:00,35.90000,140.00000,60.0,30.87,56.88,125.28,138.00,150.00,90.00
EQ-20160820180100403671437781164__TC-TY1611,Simultaneous,2016-08-20 18:01:00,40.36700,143.77800,6.40,11.0,2016-08-21 06:00:00,40.60000,142.90000,35.0,18.01,11.98,78.65,103.50,120.00,60.00
EQ-20180808001300379151439385056__TC-TY1813,Simultaneous,2018-08-08 00:13:00,37.91500,143.93800,5.60,50.0,2018-08-09 09:00:00,37.60000,141.90000,55.0,28.29,32.78,182.55,224.25,240.00,150.00
EQ-20180906030800426901420073767__TC-TY1821,Simultaneous,2018-09-06 03:08:00,42.69000,142.00700,6.70,37.0,2018-09-04 21:00:00,45.00000,140.20000,50.0,25.72,30.13,294.90,431.25,450.00,300.00
EQ-201907280331003316013739739366__TC-TY1906,Simultaneous,2019-07-28 03:31:00,33.16000,137.39700,6.60,393.0,2019-07-26 22:00:00,34.10000,136.30000,35.0,18.01,29.52,145.74,189.75,210.00,120.00
EQ-20191012182200346731406487554__TC-TY1919,Simultaneous,2019-10-12 18:22:00,34.67300,140.64800,5.40,75.0,2019-10-12 15:00:00,36.90000,140.60000,65.0,33.44,3.37,247.67,373.75,325.00,325.00
EQ-20230807031200307671314784354__TC-TY2306,Simultaneous,2023-08-07 03:12:00,30.76700,131.47800,5.40,43.0,2023-08-07 21:00:00,28.60000,131.10000,45.0,23.15,17.80,243.71,258.75,240.00,210.00
EQ-20230825074800394871433381560__TC-TY2310,Simultaneous,2023-08-25 07:48:00,39.48700,143.33800,6.00,15.0,2023-08-28 00:00:00,38.50000,144.60000,45.0,23.15,64.20,154.72,172.50,180.00,120.00
